id,question,answer,follow-up,relation,generated_follow_up
3260,ELI5: how can I know if what I am saying is morally right or wrong when people disagree with me?,"Morally right and wrong is not black/white. It changes from culture to culture and over time. You can therefore not be 100% sure that you are right.   My personal guideline is if it fits into ""do to others what you want others do to you"". I know that then I am somewhere close.",Thats right. But what if I feel %100 right but some people disargee %100 and I feel confused about my moral senses?,Strongly Related,But how do I know if what I am saying is morally right or wrong when people disagree with me?
3260,ELI5: how can I know if what I am saying is morally right or wrong when people disagree with me?,"Morally right and wrong is not black/white. It changes from culture to culture and over time. You can therefore not be 100% sure that you are right.   My personal guideline is if it fits into ""do to others what you want others do to you"". I know that then I am somewhere close.",Thats right. But what if I feel %100 right but some people disargee %100 and I feel confused about my moral senses?,Strongly Related,"So if you want others to do to you what you want them to do, then you are morally right?"
3260,ELI5: how can I know if what I am saying is morally right or wrong when people disagree with me?,"Morally right and wrong is not black/white. It changes from culture to culture and over time. You can therefore not be 100% sure that you are right.   My personal guideline is if it fits into ""do to others what you want others do to you"". I know that then I am somewhere close.",Thats right. But what if I feel %100 right but some people disargee %100 and I feel confused about my moral senses?,Strongly Related,">Morally right and wrong is not black/white. It changes from culture to culture and over time. You can therefore not be 100% sure that you are right.    I think that's the key.  I'm not 100% certain that I am right, but I know that I'm somewhere close.  How do you know that?   How can you know if you're right?  How does anyone know that they're right, or that they are wrong?  >Do to others what you want others do to you   >I know that then I am somewhere close.<QUS>.  >How do you feel when you hear someone say something that is morally wrong?"
3260,ELI5: how can I know if what I am saying is morally right or wrong when people disagree with me?,"Morally right and wrong is not black/white. It changes from culture to culture and over time. You can therefore not be 100% sure that you are right.   My personal guideline is if it fits into ""do to others what you want others do to you"". I know that then I am somewhere close.",Thats right. But what if I feel %100 right but some people disargee %100 and I feel confused about my moral senses?,Strongly Related,"I agree with you, but how do you know if it's morally right or wrong? I mean, I know that it's wrong to kill someone for no reason, but I don't know if killing someone is morally right."
3260,ELI5: how can I know if what I am saying is morally right or wrong when people disagree with me?,"Morally right and wrong is not black/white. It changes from culture to culture and over time. You can therefore not be 100% sure that you are right.   My personal guideline is if it fits into ""do to others what you want others do to you"". I know that then I am somewhere close.",Thats right. But what if I feel %100 right but some people disargee %100 and I feel confused about my moral senses?,Strongly Related,What about when you are disagreeing with someone?
3261,ELI5: how can I know if what I am saying is morally right or wrong when people disagree with me?,"Morality isn't set in stone, and no one has all the right answers. To be comfortable with your own morality, figure out what your personal moral beliefs are.   If you are just beginning to think about this, a good place to start is the Golden Rule. It is present in the literature of many religions, for good reason.","Golden Rule is doctrinized empathy. I think it is a true system but my question is not ""which moral doctrtine should I follow"" or something. Actually I wonder this: what if I feel %100 right about something but some people disargee %100 and I feel confused about my moral senses?",Related,But how can I know if what I am saying is morally right or wrong when people disagree with me?
3261,ELI5: how can I know if what I am saying is morally right or wrong when people disagree with me?,"Morality isn't set in stone, and no one has all the right answers. To be comfortable with your own morality, figure out what your personal moral beliefs are.   If you are just beginning to think about this, a good place to start is the Golden Rule. It is present in the literature of many religions, for good reason.","Golden Rule is doctrinized empathy. I think it is a true system but my question is not ""which moral doctrtine should I follow"" or something. Actually I wonder this: what if I feel %100 right about something but some people disargee %100 and I feel confused about my moral senses?",Related,">Morality isn't set in stone, and no one has all the right answers. To be comfortable with your own morality, figure out what your personal moral beliefs are.    >Morality is subjective.  >How can I know if what I am saying is morally right or wrong when people disagree with me?  >I am not morally right, and I am not obligated to defend what I believe.  How can I defend what you believe is right or bad when you disagree?   How do you know that you are right?  How does that make sense?"
3261,ELI5: how can I know if what I am saying is morally right or wrong when people disagree with me?,"Morality isn't set in stone, and no one has all the right answers. To be comfortable with your own morality, figure out what your personal moral beliefs are.   If you are just beginning to think about this, a good place to start is the Golden Rule. It is present in the literature of many religions, for good reason.","Golden Rule is doctrinized empathy. I think it is a true system but my question is not ""which moral doctrtine should I follow"" or something. Actually I wonder this: what if I feel %100 right about something but some people disargee %100 and I feel confused about my moral senses?",Related,Is there a moral code that everyone should live by?
3261,ELI5: how can I know if what I am saying is morally right or wrong when people disagree with me?,"Morality isn't set in stone, and no one has all the right answers. To be comfortable with your own morality, figure out what your personal moral beliefs are.   If you are just beginning to think about this, a good place to start is the Golden Rule. It is present in the literature of many religions, for good reason.","Golden Rule is doctrinized empathy. I think it is a true system but my question is not ""which moral doctrtine should I follow"" or something. Actually I wonder this: what if I feel %100 right about something but some people disargee %100 and I feel confused about my moral senses?",Related,What about people who disagree with me?
3262,ELI5: Is zero a number or the absence of a number?,"Zero is definitely a number.  When you're measuring or counting something, zero represents the absence of that thing - but that doesn't mean that zero itself isn't a number, it's actually a very important number!  Almost all of the math we learn in school and use in everyday life and also in banking, science, engineering, and elsewhere all depends on there being a number zero to work with.",So it's both? Zero is both a number and the absence?,Strongly Related,">Almost all the math we learn in school and use in everyday life and also in banking, science and engineering all depends on there being a number zero to work with.    How do you know that?   Because zero is not a number."
