id,question,answer,follow-ups
10429,ELI5 How can there be a global water shortage if virtually all of our water is recycled naturally?,"Because global warming is changing weather patterns around the world which means less rain and snow in places where it used to be. It's not that there's less water overall, it's just that changing weather patterns changes where the water is going, which is places were it's either not needed or inaccessible.   For example, less winter snow in the Rocky Mountains means less spring and summer water in the Colorado River watershed which provides water for much of The Southwestern U.S., eventually emptying in the Pacific. At the same time, Typhoons in the pacific are getting bigger and more frequent, so there's more water being dumped back into the ocean. In other words, water that used to fall as snow in the Rockies is now falling as rain in the Pacific Ocean where it's unusable. That's a simplistic explanation but you get the drift.",How does the increased frequency of extreme weather events affect water distribution?
19848,"ELI5: How are credit/debit cards with chips more secure than others when most card readers have a ""Bypass PIN"" option that allows the transaction to go through without any additional verification? It seems to me that this is less secure than an old chipless card that at least requires a PIN.","The chip and/or the PIN are a means of verifying the transaction is legit.  On a card without the chip, the only data is its number, the expiration date, and maybe the verification code on the back. The magnetic stripe is usually just the card number. These kinds of terminals require the PIN because (hopefully) only the authorized cardholder knows that PIN. These cards are easy to duplicate so we NEED extra security measures.  Cards with a chip, on the other hand, are a lot harder to replicate. The chip is actually a tiny computer that does some math on some inputs and generates numbers in a way that isn't easy to guess even if you see it done for a few thousand inputs. The bank who issues the card knows the secret information that makes it possible to predict the numbers. So, oversimplified, when you use a chip reader, the terminal gives the chip some inputs, gets the chip's result, then sends the inputs and the results to the bank. The bank verifies that the inputs should produce that output on your chip. So in a way, the chip IS the PIN, but it's more secure than that because you can't accidentally give someone knowledge that makes them able to replicate your chip.  It's probably possible to copy a card with a chip, but it would take a high degree of sophistication and someone would have to physically steal your card to do it. You can't reproduce the chip from observing a single read, and in theory even seeing hundreds of thousands of input/output wouldn't be useful. Because it's incredibly close to impossible to duplicate these chips, when a terminal uses the chip as an ID you don't have to use a PIN. The assumption is it means someone would've had to have stolen your actual card and you'd probably notice that much more quickly than it takes to figure out someone's skimmed a traditional card.",How does the tamper-resistant technology in chip cards prevent unauthorized access or modifications?
10118,ELI5: how is the United States in debt?,"The public holds over $22 trillion of the national debt.1 Foreign governments hold a large portion of the public debt, while the rest is owned by U.S. banks and investors, the Federal Reserve, state and local governments, mutual funds, pensions funds, insurance companies, and savings bonds. China being the most popular foreign country to point out. Sure we could refuse to pay- but then why would someone loan us money next time we need help if we prove we won't pay it back? It would also make the savings bonds of millions of Americans worthless- which would collapse their retirement goals. Plus that would definitely hurt us in our efforts of international trade.",What are the expected benefits of using a credit-based economic model?
9121,[eli5] Can we heat pots and pans with direct electricity?,there used to be pots and pans that u plugged in and they would heat up and all that. idk if there still are. they were rather awkward to clean tbh.   maybe thats the crux of it. it would be reall quote difficult to clean it like a normal dish so its function is overshadowed by its use upkeep,What types of conductive materials are typically used in resistive heating elements?
5536,eli5 Can you make perpetual stew in a crock pot without getting sick?,"There’s been a few historical perpetual pots of food over the years. One in Bangkok I think was a few hundred years old. As long as they are kept at food safe temperatures and enough is being added and taken, it’s possible.",Why are root vegetables and hardy greens recommended for a perpetual stew?
28,ELI5: Why aren’t there insects the size of man or larger?,"They don’t breath the same way mammals do. They have tubes in various parts of their body that expose their circulatory system to air where it absorbs oxygen. Because they don’t inhale, they air limited in size by the amount of oxygen in the atmosphere. Which is why they used to be bigger in past eras when there was more oxygen in the atmosphere.",How does gravity affect the biomechanics of larger insects differently than smaller ones?
6502,ELI5 how our brains notice when something has changed?,"The brain runs a LOT of processes sub-consciously, that is, you are not even aware of them going unless some of them turn up something that the brain thinks should be brought to conscious attention. The brain has a mental picture of your room stored for reference, and when it sees something has changed, it will sound an alarm bringing this fact to consciousness, because it’s pretty important for safety reasons, obviously.",How does the novelty detection system operate in the brain?
19975,ELI5: Why is deflation worse than inflation?,"Why would I pay $1000 for a TV today when it will be cheaper tomorrow.   Obviously not that simple.  But if people don't spend money, shops go broke, people lose jobs etc",What are the mechanisms by which deflation can cause a credit crunch?
19912,"ELI5: Considering that more calorie dense foods weigh less and have more calories while less calorie dense foods weigh more and have less calories, and the conservation of matter, how more calories means more weight?","Conservation of matter:  (weight of food) - (weight of poop) - (weight of pee) = weight gained by your body?    Actually, a bit more complicated, because you breathe in O2 and expel CO2 (so you lose carbons  from the ""weight of food"").  You also sweat out some of the water you just ingested.","How does the body metabolize fats, carbohydrates, and proteins for energy?"
21245,"eli5: why aren’t animals massive? Elephants are huge, and they seem to be doing great, so why are other animals so small?","Here’s the short short answer. Big animals need A LOT of energy. Like a ridiculous amount. An entire ecosystem of massive organisms. Just couldn’t work.  Most would starve. But a massive ecosystem of tiny organisms is possible. They require a lot of energy done their body size, but not overall - and so we get lots of smaller species, that don’t store much energy, like mice.",Why is it that evolutionary pressures generally favor smaller animals over larger ones?
